,matchid,teamid,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills
267526,137261,100,0,0,0,1,0,0,7,1,1,2,0
267527,137261,200,1,1,1,0,1,1,9,2,0,3,1
267528,137262,100,0,0,1,0,1,0,7,2,0,2,0
267529,137262,200,1,1,0,1,0,1,7,1,2,2,1
267530,137263,100,1,0,0,0,0,0,1,0,0,0,0
267531,137263,200,0,1,1,1,1,1,9,1,1,3,1
267532,137264,100,0,1,0,1,0,0,10,3,1,1,0
267533,137264,200,1,0,1,0,1,0,6,2,1,3,0
267534,137265,100,0,0,0,0,0,0,0,0,0,0,0
267535,137265,200,1,1,1,1,1,0,11,3,1,3,0
267536,137266,100,1,1,1,1,0,0,9,1,1,1,0
267537,137266,200,0,0,0,0,1,0,4,0,0,2,0
267538,137267,100,0,0,1,1,1,1,11,3,1,2,1
267539,137267,200,1,1,0,0,0,0,5,0,0,2,0
267540,137268,100,1,0,1,1,0,0,9,2,1,1,0
267541,137268,200,0,1,0,0,1,0,3,0,0,1,0
267542,137269,100,1,1,1,1,1,0,9,3,1,5,0
267543,137269,200,0,0,0,0,0,0,4,0,1,0,0
267544,137270,100,1,0,0,0,0,0,1,0,0,0,0
267545,137270,200,0,1,1,1,1,0,11,3,1,3,0
267546,137271,100,1,0,0,0,1,0,1,0,0,2,0
267547,137271,200,0,1,1,1,0,0,9,1,1,1,0
267548,137272,100,0,0,1,1,1,0,11,3,1,4,0
267549,137272,200,1,1,0,0,0,0,4,0,0,1,0
267550,137273,100,0,0,1,1,0,0,10,2,1,2,0
267551,137273,200,1,1,0,0,1,0,2,0,0,3,0
267552,137274,100,1,1,1,1,0,1,9,2,1,3,1
267553,137274,200,0,0,0,0,1,0,2,0,0,1,0
267554,137275,100,1,1,1,0,1,0,11,1,0,4,0
267555,137275,200,0,0,0,0,0,0,0,0,0,0,0
267556,137276,100,1,0,0,0,0,0,1,0,0,0,0
267557,137276,200,0,1,1,0,1,0,11,3,0,2,0
267558,137277,100,0,1,0,0,0,0,2,0,0,0,0
267559,137277,200,1,0,1,1,1,0,9,2,1,2,0
267560,137278,100,0,0,0,0,0,0,1,0,0,0,0
267561,137278,200,1,1,0,1,1,0,5,0,1,3,0
267562,137279,100,0,0,0,0,0,0,1,0,0,0,0
267563,137279,200,1,1,1,1,1,1,11,4,2,4,1
267564,137280,100,1,0,0,0,0,0,0,0,0,1,0
267565,137280,200,0,1,1,1,1,1,10,2,1,2,1
