,id,gameid,platformid,queueid,seasonid,duration,creation,version
138291,141803,2409708292,NA1,9,8,1128,1485494088786,7.2.174.829
138292,141804,2409663701,NA1,9,8,1554,1485488426744,7.2.174.829
138293,141805,2409616398,NA1,440,8,1224,1485485345375,7.2.174.829
138294,141806,2409558446,NA1,440,8,2573,1485482062349,7.2.174.829
138295,141807,2409554098,NA1,440,8,1326,1485480235733,7.2.174.829
138296,141808,2409487189,NA1,440,8,2269,1485477213569,7.2.174.829
138297,141809,2408754983,NA1,9,8,2016,1485399531863,7.2.173.3544
138298,141810,2408734614,NA1,9,8,2011,1485396576376,7.2.173.3544
138299,141811,2408685397,NA1,9,8,1570,1485394511908,7.2.173.3544
138300,141812,2407863959,NA1,9,8,2305,1485311627933,7.1.172.6393
138301,141813,2407819430,NA1,9,8,1136,1485310167241,7.1.172.6393
138302,141814,2407809090,NA1,9,8,1048,1485308773195,7.1.172.6393
138303,141815,2407791791,NA1,9,8,1803,1485305059778,7.1.172.6393
138304,141816,2407104033,NA1,9,8,1698,1485225131983,7.1.172.6393
138305,141817,2406126124,NA1,9,8,1105,1485116253126,7.1.172.6393
138306,141818,2406103805,NA1,9,8,2419,1485113421401,7.1.172.6393
138307,141819,2406082762,NA1,440,8,1232,1485111086571,7.1.172.6393
138308,141820,2405470502,NA1,440,8,1969,1485058209292,7.1.172.6393
138309,141821,2405012247,NA1,440,8,2438,1485021632521,7.1.172.6393
138310,141822,2404959379,NA1,440,8,1534,1485019665614,7.1.172.6393
138311,141823,2404936647,NA1,440,8,2071,1485016628474,7.1.172.6393
138312,141824,2404943230,NA1,440,8,1765,1485013549542,7.1.172.6393
138313,141825,2403618924,NA1,440,8,2379,1484875850445,7.1.172.6393
138314,141826,2403172435,NA1,440,8,2303,1484795526029,7.1.172.6393
138315,141827,2402331726,NA1,440,8,1805,1484708826031,7.1.172.6393
138316,141828,2402276011,NA1,440,8,1693,1484706261903,7.1.172.6393
138317,141829,2402227483,NA1,440,8,1970,1484702539760,7.1.172.6393
138318,141830,2396538186,NA1,440,8,2042,1484102293360,6.24.169.4424
138319,141831,2395705375,NA1,440,8,1692,1484017800595,6.24.169.4424
138320,141832,2395647705,NA1,440,8,2226,1484014579856,6.24.169.4424
138321,141833,2395642466,NA1,440,8,1490,1484012320063,6.24.169.4424
138322,141834,2395596942,NA1,440,8,1785,1484009966240,6.24.169.4424
138323,141835,2379494100,NA1,440,8,1442,1482379305993,6.24.169.4424
138324,141836,2379427317,NA1,440,8,1456,1482376582883,6.24.169.4424
138325,141837,2379430901,NA1,440,8,1891,1482374033329,6.24.169.4424
138326,141838,2379355469,NA1,440,8,2118,1482371392764,6.24.169.4424
138327,141839,2379323988,NA1,440,8,1706,1482366817311,6.24.169.4424
138328,141840,2378495116,NA1,440,8,1490,1482293897651,6.24.169.4424
138329,141841,2378459385,NA1,440,8,1530,1482291667976,6.24.169.4424
138330,141842,2378423642,NA1,440,8,2093,1482289092340,6.24.169.4424
138331,141843,2378377968,NA1,440,8,1898,1482286717628,6.24.169.4424
138332,141844,2378391493,NA1,440,8,1963,1482284369106,6.24.169.4424
